date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-01-24,2940,4847,8406973,1734.46936249,762905173.681271,0.0006580367344736284,0,12.616538310062618,0,0,0,0,0,8.88197358,14.193402549232191,0.0021384335131279762,7.62905173681271,-94.37243649999853,0.9724886061038573,100000000,100000000,52983548,19173,5014,11258759,85893654.90330573002689,2488.51655365,18985.0215357107119247168915,26.5,202.169871025536815,12477422,95190897.98004511763362,0.06374054381967295,0.06404990975475648,0.0664900465950599
2019-01-25,2989,5049,8343431,1652.49178055,750949198.989464,0.0006465022491647656,0,11.953826587056199,0,0,0,0,0,32.90033206,14.01277831095344,0.0021086079548216295,7.50949198989464,-94.53900092024905,-3.29863907018853,100000000,100000000,52983548,18490,4999,3039483,22824973.24192093007112,1189.46029206,8932.2425355223090630285584,25,187.737299747366,5946112,44652280.43501639763968,0.06374272536036703,0.06390519298926182,0.0657814667573025
2019-01-26,2980,5057,8365328,1654.20763298,742169231.018145,0.0006810786760681177,0,12.637414834443655,0,0,0,0,0,68.50450554,13.888480131374592,0.0020864799066082403,7.42169231018145,-94.57072952680116,8.94794809193677,100000000,100000000,52983548,18555,5212,1459758,10833874.7233258530891,502.76438987,3731.3626061312474982419115,25,185.54230775453625,2620408,19447861.9031379530316,0.0636829658677137,0.05907372095255054,0.06574880674256121
2019-01-27,3291,4803,8731506,1817.92754528,731095283.008287,0.0007366759888173646,0,14.581764522650095,0,0,0,0,0,67.52568339,13.710182900855774,0.0020666337707076266,7.31095283008287,-94.76375081960192,-6.517242448635336,100000000,100000000,52983548,19794,5728,1480918,10826921.64322066367466,553.18959497,4044.3430349183180868351639,25,182.77382075207175,3168670,23165996.9040986876829,0.0634859766079052,0.05332411328625211,0.06302663276009698
2019-01-28,3242,4951,7702485,1555.74328419,692009586.531754,0.0006515026098326262,0,11.68730531778719,0,0,0,0,0,4.61843698,12.627178559996524,0.002014553150806174,6.92009586531754,-95.38662866119743,-12.998107228646747,100000000,100000000,52987458,17939,5909,21652347,149836316.94912064126638,3927.25943476,27177.0117765119752283136904,31,214.52297182484374,23206176,160588962.58743112912704,0.06358099690872697,0.05404296782321943,0.06337299577303841
2019-01-29,2164,4399,6547349,1488.37213003,695031468.027273,0.0005345691915100868,0,7.480761265992562,0,0,0,0,0,124.6786408,12.738474888151293,0.002046724201472126,6.95031468027273,-95.80633268361751,-12.738362610995994,100000000,100000000,52987458,13994,3243,802062,5574583.29308890636926,457.51958064,3179.9050578344151104279472,27,187.65849636736371,1483736,10312432.10244913931928,0.06351235618028259,0.05405715266253807,0.06231983328244792
2019-01-30,2731,4354,8235077,1891.38194763,702038819.668979,0.0005556109194366101,0,11.83062330756326,0,0,0,0,0,2.70625221,12.493552646480987,0.0020420595823721134,7.02038819668979,-95.03922158930183,-4.7542649682119835,100000000,100000000,53029340,21293,4632,36951471,259413670.85872507118109,8187.23963731,57477.6005132419212221800649,30,210.6116459006937,37923294,266236245.57719673296826,0.06352553539475758,0.05231684938970585,0.06187055748867749
2019-01-31,3513,4332,8282072,1911.83564174,681940540.503317,0.001570935022028164,0,31.69675593946312,0,0,0,0,0,5.95567359,12.02275346193906,0.0019997484475405987,6.81940540503317,-95.2040725797461,-12.15241823492604,100000000,100000000,53030238,20177,6179,16790712,114502672.16715530791704,2924.35863408,19942.3870755005701782924336,58,395.52551349192386,18069612,123224009.73965222903004,0.06349354414609883,0.05154621790360674,0.061903695509781594
2019-02-01,2676,4474,8171332,1826.40411265,694308774.910527,0.0006595266425541313,0,12.179478508047135,0,0,0,0,0,4.25608651,11.933718742277032,0.0020153808996078494,6.94308774910527,-94.40664737468836,-12.974272488379214,100000000,100000000,53036444,18467,4676,23495763,163133144.24118088597101,5622.88088109,39040.1553601742254367623443,30,208.2926324731581,26292591,182551766.46433548005457,0.06346384562941422,0.05137521862075173,0.06115693031086917
2019-02-02,2639,4608,7384413,1602.52018229,713140242.119257,0.0005048925732215368,0,8.394343922381463,0,0,0,0,0,69.83820583,12.298770118514597,0.0020599468734103852,7.13140242119257,-94.0619085852967,-5.625367886857744,100000000,100000000,53036444,16626,4592,1431881,10211319.63025963832417,483.6119338,3448.831315618940879891866,31,221.07347505696967,2220746,15837033.40125371505722,0.06343141657061928,0.05080111935458101,0.0611474163118815
