date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-09-16,2519,8603,6168072,716.96756945,445135354.4019095417172319977,0.11382575757576588,0.4037602108438483619281696415,0.1,0.354717789227182,480.8,1705.483130604291056,34412,10.00903,122065.48562885786984,34412,122065.48562885786984,543.49415437,215.14540404596073,0.0005459376559286739,3.54717789227182,-36.42924936180375,-10.556972398735043,125490000.19754263,4224,4154,230894.84806428,819025.1004930748484985925896,55.5837381,197.165406958146856890342,2.08126276,7.3826092502806307634232,230894.84806428,819025.1004930748484985925896,0.0678168185173278,0.07065255190342395,0.07070189239446358
2018-09-17,3774,8640,6144341,711.1505787,421759976.4803221022329222548,0.12486624796465295,0.4195471609682114283566364153,0.1,0.335997251304433,536.8,1803.633245002196344,34560,10.04918,116120.6500508120448,34560,116120.6500508120448,24.07019018,189.6388693943614,0.0005368573266349266,3.35997251304433,-39.652714200168035,-8.161743320679014,125524829.39754263,4299,4253,5214949.631617131,17522087.41914421461708979042,1227.35707303,4123.8860290713423634374199,39.4927866,132.694677439525441029978,5219949.63161721,17538887.28170970170491832092,0.06790090256341977,0.06982018072233107,0.07057967974386116
2018-09-18,3399,8640,6266862,725.33125,429821720.3015288940778668026,0.10936079165552781,0.374370427282937935086493337,0.1,0.342326003328648,408.9,1399.771027610841672,34560,10.046625,118307.8667503807488,34560,118307.8667503807488,432.62543746,195.05893341302647,0.0005399167595487152,3.42326003328648,-48.5236103459328,-10.783511364432274,125559179.29754263,3739,3696,290226.0672309392,993519.296569589108153313062,78.52436884,268.8093334890182329052832,0.9,3.080934029957832,290226.06723094,993519.2965695918467613396912,0.06778982082752796,0.06929664370346927,0.06991160230026333
2018-09-19,805,8624,5728610,664.26368275,423179319.3190505177745523944,0.11207645525629648,0.3776332076891986958816567476,0.1,0.336942497713393,129,434.65582205027697,34496,10.02509,116231.68401121204928,34496,116231.68401121204928,412.83847516,192.87380949248703,0.0005277961116694325,3.36942497713393,-46.03240669722991,-9.70453749368007,125593928.39754263,1151,1130,304220.5025764499,1025048.159937327396959216235,270.10655095,910.1037592584284485187335,2.31794134,7.8101294465272910636662,305220.40257645,1028417.247971963950508713948,0.06773563578069305,0.06918733448676574,0.06986168378142822
2018-09-20,927,8638,5813662,673.03334105,419580247.949915553171413599,0.13396805896805591,0.4474339252502383147812250145,0.1,0.333985525129484,218.1,728.422430307404604,34552,10.038595,115398.67864273931168,34552,115398.67864273931168,70.20362088,186.86471387219703,0.0005139340160475062,3.33985525129484,-45.1633239639837,-19.18306364532681,125628273.19754263,1628,1563,1789484.2406622297,5976618.338285107114430006505,1144.9228987,3823.876755550905141152708,5.320083,17.76830714487440627172,1789514.49066223,5976719.368906459785296581893,0.06773558576924384,0.06625737906869945,0.06985728762588599
2018-09-21,823,8639,5743016,664.77786781,431284893.1908146792902564937,0.14925137903860963,0.5122418977287571513990746818,0.1,0.343207480579624,189.4,650.034968217807856,34556,10.037135,118598.77698909486944,34556,118598.77698909486944,110.9720379,189.666540574886,0.0005091235799735978,3.43207480579624,-35.901540388615324,-10.333215098434001,125663022.39754263,1269,1195,1132384.5607536503,3886428.521435244889065178015,947.60214289,3252.2414405312976167047336,10.00021,34.3214687936716172104,1132384.56075365,3886428.521435243859442736276,0.06777635156026401,0.06520242085019512,0.06980720036558287
2018-09-22,1661,8630,5971365,691.93105446,420485733.2298439123609999626,0.12520568436799032,0.4188409551456310808954288775,0.1,0.334522316027299,334.8,1119.980714059397052,34520,10.023995,115477.1034926236148,34520,115477.1034926236148,329.31289876,186.45791778448233,0.0004988792942902872,3.34522316027299,-42.84607140965373,-26.913789893581225,125697363.99754263,2674,2587,381695.84146678005,1276857.769054560141647974286,147.54381193,493.5669768231982840187707,2.15563536,7.2110813313754044969264,381695.84146678,1276857.769054559974386816272,0.06766420839812344,0.055425085211880554,0.06959816867145842
2018-09-23,1452,8626,5916014,685.83514955,439751395.3730173691247375241,0.12471434617012227,0.4361930840169312804421434597,0.1,0.349753735165257,294.7,1030.724257532012379,34504,10.016695,120679.02878142027528,34504,120679.02878142027528,458.22508476,199.018521442209,0.0005217762116719702,3.49753735165257,-40.44414607947077,-30.96963120404817,125731722.39754263,2363,2287,274388.56269462005,959684.246890696575986115756,119.97750883,419.6258184911510322671931,2.92878175,10.2435235654633793565975,274388.56269462,959684.2468906964011092481734,0.06736973098904828,0.05233854900931501,0.06985193090092869
2018-09-24,1754,8633,5985777,693.3600139,417720565.3387896439021411621,0.1302559798573232,0.4326319265450139831511734515,0.1,0.332139781236071,310.4,1030.961880956764384,34532,10.021805,114694.50925644003772,34532,114694.50925644003772,151.5739754,187.11006681874764,0.0005050368865015398,3.32139781236071,-42.270212455755164,-33.62549699516242,125766496.19754263,2383,2324,829736.7398638999,2755885.792619264645083326133,357.02957825,1185.8372601476169281705575,1.6829407,5.589715559312801939897,829736.73986391,2755885.792619298191201230976,0.06744515959966806,0.05282863504447408,0.0698161916229182
2018-09-25,2755,8638,6266623,725.47152119,405021383.5286786553081426287,0.12524712797222037,0.4032385670720238544196865545,0.1,0.321954342267602,468.8,1509.321956550518176,34552,10.02509,111241.66434030184304,34552,111241.66434030184304,214.620976,181.28683933871022,0.0005017644370971638,3.21954342267602,-47.182019102080034,-33.055194109104605,125800876.19754263,3743,3667,586153.6861011803,1887147.244764359476179106506,159.84556479,514.6297367635781100893358,2.9,9.336675925760458,586153.68610118,1887147.244764358510316079704,0.06592108082108618,0.05270616869536601,0.06985619419194845
