date,AdrActCnt,BlkCnt,IssContNtv,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-10-24,124060,28765,1381280,21038.491649993514112,1381280,21038.491649993514112,0.000002043251680479131,0.0152311563549704,-34.293195028499596,19.39790349986164,2872832,196616,633305792.6687135,9645979.54864564218373629858,4110.55876146,62.608563202090735538960784,0.099987,0.0015229176304644253848,808201621.442554,12309845.2625321378565359704,0.0557902598674587,0.04098365688896244,0.05035515642320987
2019-10-25,121369,28764,1381248,24209.6955676435246464,1381248,24209.6955676435246464,0.0000020247320039881436,0.0175274067854893,-23.586312388439485,33.18638379889664,2745127,167821,6069119374.262205,106375924.1023879463958874219,37875.39883853,663.857522605564274077742729,0.000104,0.0000018228503056908872,6356287308.480765,111409233.3011852798830301633,0.05678905259562389,0.04762259903281359,0.05361691893342437
2019-10-26,84209,28780,1381760,22963.008763665998656,1381760,22963.008763665998656,0.0000017966812172674757,0.0166186666017731,-29.02021617551251,29.320646427934765,2430395,155604,1305067226.861113,21688477.13610541615187323946,9513.94278808,158.109043263445146085544648,0.0001,0.00000166186666017731,1480407553.59579,24602399.56795497580689469525,0.05688569919583055,0.04862664572233516,0.054052371172136224
2019-10-27,100446,28756,1380992,26439.330477632711168,1380992,26439.330477632711168,0.0000020030194855003847,0.019145172801604,-17.01448423779855,40.25690632345869,2409245,164728,1338993209.6112468,25635256.37818168591766347987,9747.79993568,186.62331420405795660083072,0.0001,0.0000019145172801604,1605735587.804936,30742085.30221067229577991734,0.05773969516874036,0.05361049563202005,0.055645994306614974
2019-10-28,114580,28763,1381216,28154.6393488063638976,1381216,28154.6393488063638976,0.000002187312094609495,0.0203839510610986,-12.43159488173171,49.99288857935786,2607253,157491,1818946669.0217643,37077319.88408795637664246826,14325.40606172,292.008376092465710522605592,0.0001,0.00000203839510610986,2256122526.066077,45988691.15917306410132781219,0.0579349025724652,0.05432855591954186,0.055923589700145264
2019-10-29,94548,28783,1381856,30343.9245722095321664,1381856,30343.9245722095321664,0.0000023283146930866375,0.0219588181201294,0.1580509020302033,64.45861738463134,2211033,153646,2381627732.0098963,52297730.19706159752028303658,17270.35221216,379.236523097395875915453504,0.0001,0.00000219588181201294,2653520535.989858,58268174.82782957154398404763,0.05820148634446969,0.05510243101178734,0.05664372152902195
2019-10-30,99150,28791,1382112,27678.587908371547536,1382112,27678.587908371547536,0.000002180835772022744,0.0200262988154155,-8.912704890490252,38.29254893204059,1683650,150803,1188980317.8306603,23810875.13052449705861618385,9535.93780262,190.96953992048479205228861,0.0001,0.00000200262988154155,1438048028.44881,28798779.52863499894698063056,0.05858909359615796,0.0571438322970821,0.058026473305861484
2019-10-31,122364,28791,1382112,27353.3639673141401184,1382112,27353.3639673141401184,0.0000021617028925217667,0.0197909894185957,-10.783613833988861,41.25735961078817,1664394,158583,1249410927.9676359,24727078.45488531643316722691,8918.46050506,176.505157485806122377944242,0.0001,0.00000197909894185957,1414316222.27385,27990717.38957000942172783244,0.05856914641970922,0.056712296952807655,0.058063607679435116
2019-11-01,96731,28785,1381920,27173.310925692675648,1381920,27173.310925692675648,0.0000021254606804475145,0.0196634471790644,-11.827717388276946,36.45198347210405,1700710,152332,587888599.1443179,11559916.41644845965041909817,4829.63710514,94.967314110969888029631016,0.0001,0.00000196634471790644,735708279.499768,14466560.89314403622395425706,0.058565648626705505,0.05671433615678053,0.05803170654164399
2019-11-02,105088,28786,1381952,27486.008774438920992,1381952,27486.008774438920992,0.0000021385867010346306,0.0198892644422085,-12.423667835448862,38.786416478237115,1953518,147355,514572478.8673149,10234468.10687477103843062096,4165.61639213,82.851045987872068659219105,0.0001,0.00000198892644422085,613824403.462466,12208515.88154586908355589616,0.05854499165496859,0.056634803345564456,0.05803911343383929
