Date,Miner,Hashrate
2021-02-28,RTdAMzBtmXTmgwS7rMAmpB9YpZQ46fS3bM,844.69 MH/s
2021-02-28,RHxsS8n2XnvC1x7gcU3by32j1GRckdKNM2,842.30 MH/s
2021-02-28,RXX2sUr8PgMLud9E9TFqSswvUS22kJMNd6,839.92 MH/s
2021-02-28,RBeeyrpW5zv1nn38jsPSP43CSQ9yHZTnV6,839.92 MH/s
2021-02-28,RKBrNQ4P6gkB7HCvmJ3JWoZDseNCKfavDL,839.40 MH/s
2021-02-28,RD3GeizNcGUWpLmKVco96QBaxiko7QwLBi,838.87 MH/s
2021-02-28,RVoPPAKpU2pwRG8EoaqMcmnioA9egneFkn,838.82 MH/s
2021-02-28,RGdK2k5ZXH3YFuxpr2SevmViFmrgDcAhYz,837.53 MH/s
2021-02-28,RHkp9q5hWLWo7zWd6nqapiZSWPsonKnbVa,836.48 MH/s
2021-02-28,RAjpaVyEb4Piv7q4tfqYzJHKSi2VgenYPV,835.15 MH/s
2021-02-28,RGAPoXfvKpGmxKt87yDakUPJNvt1iVPizA,832.15 MH/s
