account,day_of_week,hour_of_day,roas,conv_rate
Account 1,Tuesday,7,1.309717025,0.053254438
Account 1,Saturday,19,0.241366594,0.013833992
Account 1,Thursday,7,0.455184441,0.017821782
Account 1,Saturday,13,0.089050899,0.017892644
Account 1,Tuesday,6,0.577423524,0.028056112
Account 1,Thursday,14,0.188966097,0.014112903
Account 3,Friday,12,0.253899427,0.012145749
Account 1,Friday,11,0.55859433,0.034412955
Account 3,Thursday,7,0.592413638,0.038696538
Account 1,Tuesday,16,0.801125871,0.045081967
Account 3,Saturday,15,2.45718358,0.036885246
Account 3,Friday,13,0.571702362,0.014373717
Account 1,Saturday,17,0.119609164,0.014373717
Account 3,Tuesday,13,0.337348395,0.020661157
Account 1,Tuesday,11,0.802395949,0.04338843
Account 3,Wednesday,21,0.529740722,0.02484472
Account 3,Wednesday,9,0.4503672,0.022774327
Account 3,Friday,16,1.424014399,0.016632017
Account 1,Thursday,15,0.511746612,0.027139875
Account 1,Tuesday,13,0.963451008,0.039915966
Account 3,Friday,17,0.104493844,0.004210526
Account 3,Friday,10,0.652642987,0.008438819
Account 1,Wednesday,13,1.393140763,0.025316456
Account 3,Friday,18,0.301061798,0.021276596
Account 1,Friday,8,0.504429355,0.014989293
Account 3,Tuesday,6,0.45367139,0.021459227
Account 3,Tuesday,21,0.734198089,0.015021459
Account 3,Monday,22,0.38216728,0.025751073
Account 1,Tuesday,12,0.59830652,0.023706897
Account 1,Saturday,11,0.591451069,0.034557235
Account 3,Friday,8,0.080074609,0.008658009
Account 1,Saturday,20,0.70982352,0.019522777
Account 3,Friday,19,0.485082219,0.013071895
Account 3,Friday,20,0.209994622,0.010964912
Account 1,Friday,12,0.358251092,0.021978022
Account 1,Saturday,12,0.381163392,0.026373626
Account 1,Wednesday,10,1.014844565,0.01978022
Account 3,Friday,14,0.221355428,0.015384615
Account 3,Sunday,5,1.168504439,0.035555556
Account 3,Sunday,22,0.810388736,0.013333333
Account 1,Sunday,5,0.044380798,0.008888889
Account 1,Saturday,15,0.49091717,0.013392857
Account 1,Saturday,16,3.07913822,0.017857143
Account 3,Saturday,7,0.84734337,0.033707865
Account 1,Saturday,14,0.476789742,0.015765766
Account 1,Wednesday,9,0.212162624,0.020316027
Account 1,Tuesday,14,0.753675246,0.020361991
Account 1,Friday,18,0.137729019,0.013793103
Account 1,Friday,9,0.308681352,0.018390805
Account 3,Thursday,21,0.312008939,0.018561485
Account 1,Tuesday,15,0.808100343,0.032634033
Account 3,Friday,7,0.395609571,0.013986014
Account 1,Saturday,9,0.858384294,0.046728972
Account 3,Saturday,21,0,0
Account 1,Friday,10,0.438423525,0.018867925
Account 3,Wednesday,8,0.519776698,0.035460993
Account 1,Wednesday,21,0.36720541,0.014218009
Account 3,Wednesday,7,0.762760853,0.023866348
Account 3,Friday,15,0.730608556,0.028639618
Account 1,Friday,7,0.412789071,0.021582734
Account 1,Friday,19,0.499201153,0.021634615
Account 1,Saturday,10,0.023499001,0.002487562
Account 1,Saturday,8,0.871027007,0.034912718
Account 1,Wednesday,8,0.859817852,0.035
Account 1,Friday,13,0.64108177,0.022613065
Account 1,Friday,20,0.321063271,0.010050251
Account 1,Monday,22,0.693884523,0.037974684
Account 1,Friday,17,0.382613705,0.025575448
Account 3,Friday,21,0.248099878,0.015345269
Account 1,Wednesday,7,0.27390788,0.015384615
Account 1,Sunday,22,0.17662846,0.020671835
